NDB_No,Nutr_No,Isfl_Val,SD,n,Min,Max,CC,DataSrc_ID
18159,716,0,,1,0,0,,89
18216,710,0.01,0,10,0,0.01,B,"49,59"
18216,711,0.01,0,10,0,0.01,B,"49,59"
18216,713,0.01,0.01,10,0,0.02,B,"49,59"
18216,714,0,0,9,0,0.01,,59
18216,715,0,0,9,0,0.01,,59
18216,716,0.01,0,9,0.01,0.01,,59
18217,710,0,,1,0,0,B,49
18217,711,0.01,,1,0.01,0.01,B,49
18217,713,0.01,,1,0.01,0.01,B,49
18248,710,2.58,1.33,7,1.06,4.7,B,"89,91"
18248,711,2.44,1.11,7,1.6,4.4,B,"89,91"
18248,712,0.29,0.17,7,0.04,0.5,B,"89,91"
18248,713,5.31,2.57,7,2.87,9.6,B,"89,91"
18248,715,0,,1,0,0,,89
18248,716,0,,1,0,0,,89
18249,710,1.9,0.28,2,1.7,2.1,C,91
18249,711,1.65,0.21,2,1.5,1.8,C,91
18249,712,0.2,0,2,0.2,0.2,C,91
18249,713,3.7,0.57,2,3.3,4.1,C,91
18250,710,0.5,,1,0.5,0.5,C,91
18250,711,0.5,,1,0.5,0.5,C,91
18250,712,0.1,,1,0.1,0.1,C,91
18250,713,1.1,,1,1.1,1.1,C,91
18255,710,0.3,,1,0.3,0.3,C,91
18255,711,0.2,,1,0.2,0.2,C,91
18255,712,0,,1,0,0,C,91
18255,713,0.6,,1,0.6,0.6,C,91
18290,710,0,,1,0,0,D,89
18290,711,0,,1,0,0,D,89
18290,712,0,,1,0,0,D,89
18290,713,0,,1,0,0,D,89
18290,715,0,,1,0,0,,89
18290,716,0,,1,0,0,,89
18301,710,0,,1,0,0,C,99
18301,711,0,,1,0,0,C,99
18301,712,0,,1,0,0,C,99
18301,713,0,,1,0,0,C,99
18326,710,0,,1,0,0,D,89
18326,711,0,,1,0,0,D,89
18326,712,0,,1,0,0,D,89
18326,713,0,,1,0,0,D,89
18326,715,0,,1,0,0,,89
18326,716,0,,1,0,0,,89
18342,710,0,,1,0,0,C,91
18342,711,0,,1,0,0,C,91
18342,712,0,,1,0,0,C,91
18342,713,0,,1,0,0,C,91
18356,710,0.7,0.14,2,0.6,0.8,C,91
18356,711,0.65,0.07,2,0.6,0.7,C,91
18356,712,0.1,0,2,0.1,0.1,C,91
18356,713,1.5,0.14,2,1.4,1.6,C,91
18364,710,0,0,2,0,0,C,31
18364,711,0,0,2,0,0,C,31
18364,713,0,0,2,0,0,C,31
18376,710,0,,1,0,0,C,91
18376,711,0,,1,0,0,C,91
18376,712,0,,1,0,0,C,91
18376,713,0,,1,0,0,C,91
19015,710,0.05,0,3,0.05,0.05,C,59
19015,711,0.08,0,3,0.08,0.08,C,59
19015,713,0.13,0,3,0.13,0.13,C,59
19015,714,0,,3,0,0,,59
19015,715,0,,3,0,0,,59
19015,716,0.01,,3,0.01,0.01,,59
19016,710,0,,1,0,0,D,89
19016,711,0,,1,0,0,D,89
19016,712,0,,1,0,0,D,89
19016,713,0.01,,1,0.01,0.01,D,89
19016,715,0,,1,0,0,,89
19016,716,0,,1,0,0,,89
19033,710,0,,1,0,0,C,91
19033,711,0,,1,0,0,C,91
19033,712,0,,1,0,0,C,91
19033,713,0,,1,0,0,C,91
19042,710,0,,1,0,0,C,91
19042,711,0,,1,0,0,C,91
19042,712,0,,1,0,0,C,91
19042,713,0,,1,0,0,C,91
19056,710,0,,1,0,0,D,31
19056,711,0,,1,0,0,D,31
19056,713,0,,1,0,0,D,31
19205,710,0,,1,0,0,C,99
19205,711,0,,1,0,0,C,99
19205,712,0,,1,0,0,C,99
19205,713,0,,1,0,0,C,99
19218,710,0,,1,0,0,B,49
19218,711,0,,1,0,0,B,49
19218,713,0,,1,0,0,B,49
19314,710,0,0,2,0,0,B,51
19314,711,0,0,2,0,0,B,51
19314,713,0,0,2,0,0,B,51
19411,710,0,,1,0,0,D,31
19411,711,0,,1,0,0,D,31
19411,713,0,,1,0,0,D,31
20005,710,0,,1,0,0,B,49
20005,711,0.01,,1,0.01,0.01,B,49
20005,713,0.01,,1,0.01,0.01,B,49
20016,710,0.01,,1,0.01,0.01,B,49
20016,711,0.01,,1,0.01,0.01,B,49
20016,713,0.01,,1,0.01,0.01,B,49
20020,710,0.01,,1,0.01,0.01,B,49
20020,711,0.01,,1,0.01,0.01,B,49
20020,713,0.02,,1,0.02,0.02,B,49
20029,710,0.01,,1,0.01,0.01,D,89
20029,711,0,,1,0,0,D,89
20029,712,0,,1,0,0,D,89
20029,713,0.01,,1,0.01,0.01,D,89
20029,715,0,,1,0,0,,89
20029,716,0,,1,0,0,,89
20036,710,0.03,0.04,2,0,0.06,C,"31,49"
20036,711,0.04,0.05,2,0,0.07,C,"31,49"
20036,713,0.07,0.09,2,0,0.13,C,"31,49"
20037,710,0,,1,0,0,B,49
20037,711,0,,1,0,0,B,49
20037,713,0.01,,1,0.01,0.01,B,49
20038,710,0,0,2,0,0,B,49
20038,711,0,0,2,0,0,B,49
20038,713,0,0,2,0,0,B,49
20044,710,0,0,2,0,0,C,"31,49"
20044,711,0,0,2,0,0,C,"31,49"
20044,713,0,0,2,0,0,C,"31,49"
20045,710,0,,1,0,0,B,49
20045,711,0,,1,0,0,B,49
20045,713,0.01,,1,0.01,0.01,B,49
20047,710,0,,1,0,0,D,89
20047,711,0,,1,0,0,D,89
20047,712,0,,1,0,0,D,89
20047,713,0,,1,0,0,D,89
20047,715,0,,1,0,0,,89
20047,716,0,,1,0,0,,89
20066,710,0.01,,1,0.01,0.01,B,49
20066,711,0.02,,1,0.02,0.02,B,49
20066,713,0.02,,1,0.02,0.02,B,49
20077,710,0,,1,0,0,B,49
20077,711,0,,1,0,0,B,49
20077,713,0,,1,0,0,B,49
20080,710,0,,1,0,0,B,49
20080,711,0.01,,1,0.01,0.01,B,49
20080,713,0.02,,1,0.02,0.02,B,49
20081,710,0,,1,0,0,B,49
20081,711,0,,1,0,0,B,49
20081,713,0,,1,0,0,B,49
20088,710,0,,1,0,0,D,31
20088,711,0,,1,0,0,D,31
20088,713,0,,1,0,0,D,31
20095,710,0,,1,0,0,B,49
20095,711,0.01,,1,0.01,0.01,B,49
20095,713,0.01,,1,0.01,0.01,B,49
20100,710,0,,1,0,0,B,49
20100,711,0,,1,0,0,B,49
20100,713,0,,1,0,0,B,49
20109,710,0.01,,1,0.01,0.01,B,49
20109,711,0.01,,1,0.01,0.01,B,49
20109,713,0.02,,1,0.02,0.02,B,49
20110,710,0,,1,0,0,B,49
20110,711,0,,1,0,0,B,49
20110,713,0.01,,1,0.01,0.01,B,49
20120,710,0.01,,1,0.01,0.01,B,49
20120,711,0.01,,1,0.01,0.01,B,49
20120,713,0.01,,1,0.01,0.01,B,49
20121,710,0,,1,0,0,B,49
20121,711,0.01,,1,0.01,0.01,B,49
20121,713,0.01,,1,0.01,0.01,B,49
20124,710,0.01,0.01,2,0,0.01,B,49
20124,711,0.01,0,2,0.01,0.01,B,49
20124,713,0.02,0.01,2,0.01,0.02,B,49
20125,710,0,,1,0,0,B,49
20125,711,0,,1,0,0,B,49
20125,713,0,,1,0,0,B,49
21322,710,4.4,,1,4.4,4.4,C,91
21322,711,0.9,,1,0.9,0.9,C,91
21322,712,0.7,,1,0.7,0.7,C,91
21322,713,6,,1,6,6,C,91
22116,710,1.35,,1,1.35,1.35,B,66
22116,711,2,,1,2,2,B,66
22116,712,0.4,,1,0.4,0.4,B,66
22116,713,3.75,,1,3.75,3.75,B,66
22122,710,2,,1,2,2,C,91
22122,711,2.3,,1,2.3,2.3,C,91
22122,712,0.3,,1,0.3,0.3,C,91
22122,713,4.6,,1,4.6,4.6,C,91
22126,710,1,,1,1,1,B,66
22126,711,2.05,,1,2.05,2.05,B,66
22126,712,0.3,,1,0.3,0.3,B,66
22126,713,3.35,,1,3.35,3.35,B,66
22518,710,0,,1,0,0,C,91
22518,711,0,,1,0,0,C,91
22518,712,0,,1,0,0,C,91
22518,713,0,,1,0,0,C,91
22720,710,1.9,,1,1.9,1.9,C,91
22720,711,1.2,,1,1.2,1.2,C,91
22720,712,0.2,,1,0.2,0.2,C,91
22720,713,3.3,,1,3.3,3.3,C,91
22903,710,0.01,,1,0.01,0.01,D,89
22903,711,0.01,,1,0.01,0.01,D,89
22903,712,0,,1,0,0,D,89
22903,713,0.01,,1,0.01,0.01,D,89
22903,715,0,,1,0,0,,89
22903,716,0,,1,0,0,,89
22904,710,1.25,1.48,4,0,3.4,C,91
22904,711,1.03,0.98,4,0.1,2.4,C,91
22904,712,0.15,0.17,4,0,0.4,C,91
22904,713,2.43,2.57,4,0.1,6.1,C,91
22910,710,0,,1,0,0,D,89
22910,711,0,,1,0,0,D,89
22910,712,0,,1,0,0,D,89
22910,713,0,,1,0,0,D,89
22910,715,0,,1,0,0,,89
22910,716,0,,1,0,0,,89
22911,710,1,0.82,3,0.1,1.7,C,91
22911,711,1.1,0.66,3,0.4,1.7,C,91
22911,712,0.17,0.15,3,0,0.3,C,91
22911,713,2.2,1.57,3,0.5,3.6,C,91
22932,710,0.2,,1,0.2,0.2,C,91
22932,711,0.3,,1,0.3,0.3,C,91
22932,712,0,,1,0,0,C,91
22932,713,0.6,,1,0.6,0.6,C,91
23501,710,0.67,0.33,5,0.3,1.05,B,66
23501,711,1.09,0.42,5,0.5,1.65,B,66
23501,712,0.1,0.07,5,0,0.2,B,66
23501,713,1.86,0.78,5,0.9,2.9,B,66
23506,710,0.35,0.17,5,0.2,0.55,B,66
23506,711,0.77,0.28,5,0.35,1.1,B,66
23506,712,0.02,0.04,5,0,0.1,B,66
23506,713,1.14,0.46,5,0.55,1.75,B,66
23567,710,0,,1,0,0,D,31
23567,711,0,,1,0,0,D,31
23567,713,0,,1,0,0,D,31
25013,710,0.1,,1,0.1,0.1,C,91
25013,711,0,,1,0,0,C,91
25013,712,0,,1,0,0,C,91
25013,713,0.1,,1,0.1,0.1,C,91
25017,710,1.8,,1,1.8,1.8,D,31
25017,711,3.27,,1,3.27,3.27,D,31
25017,713,5.07,,1,5.07,5.07,D,31
25017,714,0,,1,0,0,,31
25017,715,0,,1,0,0,,31
25017,716,0.09,,1,0.09,0.09,,31
42178,710,5.5,0,5,5.5,5.5,C,"64,"
42178,711,11.3,0,5,11.3,11.3,C,"64,"
42178,713,16.8,0,5,16.8,16.8,C,"64,"
42178,714,0,,5,0,0,,64
42237,710,0,,1,0,0,B,49
42237,711,0,,1,0,0,B,49
42237,713,0,,1,0,0,B,49
42299,710,0,,1,0,0,B,66
42299,711,0,,1,0,0,B,66
42299,712,0,,1,0,0,B,66
42299,713,0,,1,0,0,B,66
43130,710,5.78,0,6,5.78,5.78,C,81
43130,711,6.43,0,6,6.43,6.43,C,81
43130,712,0.06,0,6,0.06,0.06,C,81
43130,713,12.27,0,6,12.27,12.27,C,81
43212,710,64.37,23.35,3,49.6,93.9,C,91
43212,711,45.77,0.11,3,45.7,45.9,C,91
43212,712,8.33,1.32,3,7.5,10,C,91
43212,713,118.5,24.82,3,102.8,149.9,C,91
43476,710,5.7,0,3,5.7,5.7,C,95
43476,711,9.4,0,3,9.4,9.4,C,95
43476,712,1.2,0,3,1.2,1.2,C,95
43476,713,16.3,0,3,16.3,16.3,C,95
43528,710,0.2,0.14,2,0.1,0.3,C,91
43528,711,0.35,0.21,2,0.2,0.5,C,91
43528,712,0,0,2,0,0,C,91
43528,713,0.6,0.28,2,0.4,0.8,C,91
97068,710,0,,1,0,0,B,51
97068,711,0,,1,0,0,B,51
97068,713,0,,1,0,0,B,51
97069,710,0,,1,0,0,B,51
97069,711,0,,1,0,0,B,51
97069,713,0,,1,0,0,B,51
97070,710,0,,1,0,0,B,51
97070,711,0,,1,0,0,B,51
97070,713,0,,1,0,0,B,51
99001,710,0.01,0,3,0.01,0.01,C,59
99001,711,0.01,0,3,0.01,0.01,C,59
99001,713,0.02,0,3,0.02,0.02,C,59
99001,714,0,,3,0,0,,59
99001,715,0,,3,0,0,,59
99001,716,0,,3,0,0,,59
99002,710,29.84,12.59,7,20.75,59.3,B,"13,50"
99002,711,40,11.46,7,33.69,67.2,B,"13,50"
99002,713,69.84,24.01,7,54.44,126.5,B,"13,50"
99003,710,0,0,2,0,0,B,66
99003,711,0,0,2,0,0,B,66
99003,712,0,0,2,0,0,B,66
99003,713,0,0,2,0,0,B,66
99008,710,0,,1,0,0,C,24
99008,711,1.29,,1,1.29,1.29,C,24
99008,713,1.29,,1,1.29,1.29,C,24
99008,714,0,,1,0,0,,24
99008,715,0.21,,1,0.21,0.21,,24
99008,716,0,,1,0,0,,24
99009,710,0.04,0.05,2,0,0.07,C,"24,31"
99009,711,0.21,0.2,2,0.07,0.35,C,"24,31"
99009,713,0.25,0.15,2,0.14,0.35,C,"24,31"
99009,714,0.6,0.22,2,0.44,0.75,,"24,31"
99009,715,3.15,1.23,2,2.28,4.02,,"24,31"
99009,716,14.08,19.77,2,0.1,28.06,,"24,31"
99010,710,0,0,3,0,0,C,59
99010,711,0,0,3,0,0,C,59
99010,713,0,0,3,0,0,C,59
99010,714,0,,3,0,0,,59
99010,715,0.01,,3,0.01,0.01,,59
99010,716,0,,3,0,0,,59
99014,710,1.9,0.98,6,0.34,3.45,C,"13,"
99014,711,2.81,0.66,6,1.78,3.85,C,"13,"
99014,713,4.71,1.64,6,2.12,7.31,C,"13,"
99018,710,40.07,8.23,18,29.5,70,B,"13,95,101,"
99018,711,62.18,3.69,18,55,73.15,B,"13,95,101,"
99018,712,10.9,0.15,12,10.5,11.1,B,"95,"
99018,713,109.51,5.46,18,100.1,125,B,"13,95,101,"
99019,710,0,,1,0,0,C,24
99019,711,0.64,,1,0.64,0.64,C,24
99019,713,0.64,,1,0.64,0.64,C,24
99019,714,1.26,,1,1.26,1.26,,24
99019,715,0,,1,0,0,,24
99019,716,6.13,,1,6.13,6.13,,24
99020,710,0.02,0,3,0.02,0.02,C,59
99020,711,0.03,0,3,0.03,0.03,C,59
99020,713,0.05,0,3,0.05,0.05,C,59
99020,714,0.04,,3,0.04,0.04,,59
99020,715,0.01,,3,0.01,0.01,,59
99020,716,0,,3,0,0,,59
99021,710,0,,1,0,0,C,56
99021,711,0,,1,0,0,C,56
99021,713,0,,1,0,0,C,56
99026,710,0,0,2,0,0,C,"24,31,"
99026,711,0.16,0.22,2,0,0.31,C,"24,31,"
99026,713,0.16,0.22,2,0,0.31,C,"24,31,"
99026,714,0,,1,0,0,,24
99026,715,0,,1,0,0,,24
99026,716,0.07,,1,0.07,0.07,,24
99029,710,0,0,2,0,0,B,51
99029,711,0,0,2,0,0,B,51
99029,713,0,0,2,0,0,B,51
99030,710,29.09,12.7,58,9.89,87.42,B,"5,27,"
99030,711,67.57,13.69,58,25.88,110.98,B,"5,27,"
99030,712,13.1,3.58,14,4.56,20.49,B,"27,"
99030,713,99.82,21.22,58,42.54,188,B,"5,27,"
99034,710,12.18,1.91,5,9,14.3,C,"23,95,"
99034,711,21.12,1.15,5,19.2,22.4,C,"23,95,"
99034,712,2.3,0,3,2.3,2.3,C,"95,"
99034,713,34.68,3.89,5,28.2,39,C,"23,95,"
99035,710,37.47,24.37,10,13.92,88.04,C,"18,20,38,80,84,"
99035,711,91.22,41.85,10,44.41,156.06,C,"18,20,38,80,84,"
99035,712,14.23,17.71,2,1.71,26.76,C,"18,80,"
99035,713,131.53,64.64,10,61.34,244.1,C,"18,20,38,80,84,"
99036,710,21.75,23.03,9,7.01,74.35,B,"18,42,81,86,"
99036,711,39.57,43.82,9,13.19,131.96,B,"18,42,81,86,"
99036,712,1.12,0.35,8,0.92,1.9,B,"18,42,81,"
99036,713,62.31,67.07,9,21.12,207.89,B,"18,42,81,86,"
99038,710,19.71,5.32,33,3,27.6,B,"13,34,91,95,97,"
99038,711,17.79,5.75,33,0.31,29.98,B,"13,34,91,95,97,"
99038,712,6.05,3.01,4,1.1,7.7,B,"91,95,"
99038,713,38.24,11.25,33,3.31,59.4,B,"13,34,91,95,97,"
99038,715,0,0,2,0,0,,97
99038,716,0,0,2,0,0,,97
99040,710,41.32,21.23,31,3.31,117.29,B,"24,33,39,52,98,"
99040,711,55.09,19.06,31,5.56,110.92,B,"24,33,39,52,98,"
99040,713,108.08,38.2,31,10.04,207.04,B,"24,33,39,52,98,"
99040,714,0,0,4,0,0,,"24,73"
99040,715,0,0,4,0,0,,"24,73"
99040,716,0,0,4,0,0,,"24,73"
99041,710,1.83,0.93,7,0.2,3.4,B,"22,95,"
99041,711,2.11,1.07,7,0.5,4,B,"22,95,"
99041,712,2.93,0.49,7,1.9,3.5,B,"22,95,"
99041,713,6.87,2.28,7,3.4,10.9,B,"22,95,"
99042,710,5.79,6.41,8,0,21.1,B,"13,23,34,"
99042,711,11.14,11.31,8,1.95,38.2,B,"13,23,34,"
99042,713,25.72,20.18,5,3.33,59.3,C,"13,23,"
99043,710,2.75,1.23,5,0.7,4.12,C,"16,75,"
99043,711,5.1,1.8,5,2.1,7.1,C,"16,75,"
99043,713,7.85,3.04,5,2.8,11.22,C,"16,75,"
99044,710,0,,1,0,0,C,56
99044,711,0,,1,0,0,C,56
99044,713,0,,1,0,0,C,56
99045,710,18.8,1.41,6,16.58,21.03,B,"13,67,"
99045,711,21.68,2.89,6,17.11,26.26,B,"13,67,"
99045,712,7.9,0,3,7.9,7.9,B,"67,"
99045,713,44.43,3.98,6,38.13,50.73,B,"13,67,"
99047,710,0,0,3,0,0,C,"31,51,89,"
99047,711,0,0,3,0,0,C,"31,51,89,"
99047,712,0,,1,0,0,C,89
99047,713,0,0,3,0,0,C,"31,51,89,"
99047,715,0,,1,0,0,,89
99047,716,0,,1,0,0,,89
99048,710,0,,1,0,0,B,51
99048,711,0,,1,0,0,B,51
99048,713,0,,1,0,0,B,51
99049,710,0.9,0,3,0.9,0.9,C,"95,"
99049,711,3.7,0,3,3.7,3.7,C,"95,"
99049,712,3.9,0,3,3.9,3.9,C,"95,"
99049,713,8.5,0,3,8.5,8.5,C,"95,"
99052,710,0,,1,0,0,B,51
99052,711,0,,1,0,0,B,51
99052,713,0,,1,0,0,B,51
99053,710,80.03,21.28,19,16.1,116,B,"22,23,74,90,97,"
99053,711,101.4,21.98,19,23.6,131.7,B,"22,23,74,90,97,"
99053,712,15.43,2.99,18,4.09,18.4,B,"22,23,74,90,"
99053,713,196.05,46.55,19,43.79,266.1,B,"22,23,74,90,97,"
99053,715,0,,1,0,0,,97
99053,716,0,,1,0,0,,97
99054,710,1.14,0.64,5,0.3,2.1,B,"22,95,"
99054,711,2.6,1.3,5,0.3,3.6,B,"22,95,"
99054,712,2.28,1.06,5,0.3,3,B,"22,95,"
99054,713,6.02,2.69,5,0.9,7.7,B,"22,95,"
99056,710,1.5,0,3,1.5,1.5,C,"95,"
99056,711,0.8,0,3,0.8,0.8,C,"95,"
99056,712,4.1,0,3,4.1,4.1,C,"95,"
99056,713,6.4,0,3,6.4,6.4,C,"95,"
99060,710,38.25,18.81,11,16.68,91.05,B,"13,67,"
99060,711,52.81,8.35,11,40.29,75.95,B,"13,67,"
99060,712,4.94,0.49,8,4.27,6.05,B,"67,"
99060,713,94.65,25.75,11,61.23,167,B,"13,67,"
99063,710,0.14,0,2,0.14,0.14,C,"16,"
99063,711,0.4,0,2,0.4,0.4,C,"16,"
99063,713,0.54,0,2,0.54,0.54,C,"16,"
99064,710,0.21,0.21,4,0.02,0.5,C,"16,91,"
99064,711,0.33,0.32,4,0.06,0.8,C,"16,91,"
99064,712,0.1,0,2,0.1,0.1,C,91
99064,713,0.57,0.56,4,0.08,1.4,C,"16,91,"
99065,710,0.03,0,2,0.03,0.03,C,"16,"
99065,711,0.31,0,2,0.31,0.31,C,"16,"
99065,713,0.34,0,2,0.34,0.34,C,"16,"
99070,710,0,,1,0,0,C,89
99070,711,0,,1,0,0,C,89
99070,712,0,,1,0,0,C,89
99070,713,0,,1,0,0,C,89
99070,715,0,,1,0,0,,89
99070,716,0,,1,0,0,,89
99072,710,26.71,0,3,26.71,26.71,C,"13,"
99072,711,27.45,0,3,27.45,27.45,C,"13,"
99072,713,54.16,0,3,54.16,54.16,C,"13,"
99073,710,0,,1,0,0,D,89
99073,711,0.01,,1,0.01,0.01,D,89
99073,712,0,,1,0,0,D,89
99073,713,0.01,,1,0.01,0.01,D,89
99073,715,0,,1,0,0,,89
99073,716,0,,1,0,0,,89
99080,710,67.69,19.25,35,24.8,123.25,B,"11,28,42,50,65,67,75,83,86,91,95,"
99080,711,89.42,26.96,35,33.5,150,B,"11,28,42,50,65,67,75,83,86,91,95,"
99080,712,20.02,6.77,27,3.9,30.3,B,"11,28,42,65,67,83,91,95,"
99080,713,172.55,50.01,35,68.6,295.55,B,"11,28,42,50,65,67,75,83,86,91,95,"
99081,710,6.4,0,3,6.4,6.4,C,"95,"
99081,711,19.6,0,3,19.6,19.6,C,"95,"
99081,712,3,0,3,3,3,C,"95,"
99081,713,29,0,3,29,29,C,"95,"
99084,710,8,,1,8,8,B,66
99084,711,12.75,,1,12.75,12.75,B,66
99084,712,1.95,,1,1.95,1.95,B,66
99084,713,22.7,,1,22.7,22.7,B,66
99085,710,12.8,0,2,12.8,12.8,B,66
99085,711,16.15,0,2,16.15,16.15,B,66
99085,712,2.4,0,2,2.4,2.4,B,66
99085,713,31.35,0,2,31.35,31.35,B,66
99086,710,8.59,0,2,8.59,8.59,C,"16,"
99086,711,20.65,0,2,20.65,20.65,C,"16,"
99086,713,29.24,0,2,29.24,29.24,C,"16,"
99092,710,45.95,22.47,49,7.45,113.8,B,"24,61,62,73,74,96,102,"
99092,711,74.33,23.56,52,13,156.7,B,"24,25,61,62,73,74,96,102,"
99092,712,9.01,3.21,36,2.7,20.4,B,"73,74,96,"
99092,713,130.65,41.17,49,34.22,253.09,B,"24,61,62,73,74,96,102,"
99092,714,0,0,13,0,0,,"24,73"
99092,715,0,0,13,0,0,,"24,73"
99092,716,0,0,13,0,0,,73
99093,710,78.86,19.72,314,7.51,144.92,C,"9,10,40,41,48,73,74,103,"
99093,711,89.32,24.68,314,10.13,221.85,C,"9,10,40,41,48,73,74,103,"
99093,712,18.76,7.13,178,1.25,47.82,C,"40,41,48,73,74,103,"
99093,713,178.81,47.16,314,20.02,380.9,C,"9,10,40,41,48,73,74,103,"
99093,714,0,,3,0,0,,73
